Date,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7
2021-02-01T20:59:59+11:00,"Sunday, 31 Jan 2021","Monday, 1 Feb 2021",31/01/2021 21:45,1/02/2021 5:47,8:33:00,0:11:00,0:00:00,2,8:22:00,9:03:42,97.7,99,6:48:43,6:48:12,2:17:21,1:29:51,55.5,57.9,79.4,77.8,56,57,79,79
2021-02-02T20:59:59+11:00,"Monday, 1 Feb 2021","Tuesday, 2 Feb 2021",1/02/2021 21:15,2/02/2021 5:04,8:03:59,0:19:00,0:00:00,2,7:44:59,8:57:42,95.9,98.6,6:06:28,6:47:08,1:45:00,1:31:41,57.5,57.8,70.2,76.1,55,56.9,122,87
2021-02-03T20:59:59+11:00,"Tuesday, 2 Feb 2021","Wednesday, 3 Feb 2021",2/02/2021 21:01,3/02/2021 5:54,8:53:00,0:12:00,0:00:00,1,8:41:00,8:55:34,97.7,98.3,6:16:13,6:43:39,1:34:44,1:29:54,52.7,57.1,72.1,75,53,56.7,100,90
2021-02-04T20:59:59+11:00,"Wednesday, 3 Feb 2021","Thursday, 4 Feb 2021",3/02/2021 21:00,4/02/2021 5:13,8:13:00,0:00:00,0:00:00,1,8:13:00,8:46:51,100,98.3,7:16:22,6:47:11,2:39:02,1:41:38,52.5,56.4,69.1,73.9,51,55.7,67,94
2021-02-05T20:59:59+11:00,"Thursday, 4 Feb 2021","Friday, 5 Feb 2021",4/02/2021 21:00,5/02/2021 5:51,8:51:00,0:00:00,0:00:00,1,8:51:00,8:46:08,100,98.6,7:47:08,6:58:11,3:07:25,1:55:17,52,55.6,70.3,72.6,54,54.9,97,98
2021-02-06T20:59:59+11:00,"Friday, 5 Feb 2021","Saturday, 6 Feb 2021",5/02/2021 21:13,6/02/2021 5:51,8:38:00,0:00:00,0:00:00,1,8:38:00,8:34:34,100,98.6,7:19:49,6:59:40,2:01:53,2:08:18,54.2,54.5,70.6,72.3,52,53.7,102,106
2021-02-07T20:59:59+11:00,"Saturday, 6 Feb 2021","Sunday, 7 Feb 2021",6/02/2021 21:45,7/02/2021 7:04,9:19:00,0:00:00,0:00:00,1,9:19:00,8:32:42,100,98.8,8:01:35,7:05:11,2:15:58,2:14:29,52.2,53.8,71.9,71.9,53,53.4,95,94
2021-02-08T20:59:59+11:00,"Sunday, 7 Feb 2021","Monday, 8 Feb 2021",7/02/2021 21:15,8/02/2021 5:01,7:46:00,0:05:00,0:00:00,1,7:41:00,8:26:51,98.9,98.9,7:04:04,7:07:23,3:19:46,2:23:24,52.4,53.4,79.8,72,49,52.4,99,97
2021-02-09T20:59:59+11:00,"Monday, 8 Feb 2021","Tuesday, 9 Feb 2021",8/02/2021 21:16,9/02/2021 5:10,7:54:00,0:17:00,0:00:00,1,7:37:00,8:25:42,96.4,99,6:48:11,7:13:20,3:18:02,2:36:41,54.3,52.9,70.8,72.1,52,52,78,91
2021-02-10T20:59:59+11:00,"Tuesday, 9 Feb 2021","Wednesday, 10 Feb 2021",9/02/2021 21:10,10/02/2021 5:49,8:39:00,0:00:00,0:00:00,1,8:39:00,8:25:25,100,99.3,8:03:44,7:28:42,4:04:14,2:58:02,55,53.2,75.6,72.6,55,52.3,81,88
